age,size_bucket,n_players,mean_delta_pts_per75,std_delta_pts_per75,mean_delta_ast_per75,std_delta_ast_per75,mean_delta_trb_per75,std_delta_trb_per75,mean_delta_stl_per75,std_delta_stl_per75,mean_delta_blk_per75,std_delta_blk_per75,mean_delta_vorp,std_delta_vorp,mean_delta_bpm,std_delta_bpm,mean_delta_ws_per_48,std_delta_ws_per_48,mean_delta_ts_pct,std_delta_ts_pct,mean_delta_per,std_delta_per
34,Big,84,-0.6816524827298982,2.4917412470081355,0.01448866147122865,0.7709398466536909,-0.10231077458741901,1.5175070216930515,0.005299647851076963,0.30947720540774387,0.03331054793639955,0.40167092333657983,-0.14216867469879518,0.7651112595528597,-0.325301204819277,1.7112855938676683,-0.00311904761904762,0.042989324749936886,-0.0042738095238095235,0.05810011118967363,-0.5821428571428571,2.69560824055998
35,Big,56,-0.8590500797657727,2.320187406560982,-0.117582250302108,0.758446256257114,-0.3865198305227003,1.2134719160025262,-0.020783607053783005,0.33075652544504164,-0.10790337937896462,0.49412905388219347,-0.31454545454545463,0.7856156306947559,-0.6636363636363637,1.77903049297911,-0.014267857142857141,0.04279570542235987,-0.0054464285714285795,0.05472108440009278,-1.180357142857143,2.5815020041446024
36,Big,36,-1.4230945652558937,2.079439949033549,-0.05393639163289908,0.7358281184371598,0.025625304236595134,0.9990501039418834,0.04384337628987386,0.3119068693880769,-0.06195520926667123,0.5522726753360678,-0.4305555555555555,0.7592550651581154,-1.0361111111111112,1.852897773416051,-0.021111111111111115,0.03978425947013845,-0.027833333333333328,0.0614842604713945,-1.6666666666666667,2.5334335819763885
37,Big,20,-0.9554967641545652,2.391673983959417,-0.19936057262165577,0.5667298880786913,-0.15415570654381275,1.1757464290361939,0.1260338666682134,0.28225283607332746,-0.07381025972189695,0.4334771439081958,-0.26499999999999996,0.9337389469507158,-0.24000000000000005,2.333147862302863,0.000949999999999998,0.05061149754957391,0.002749999999999983,0.0712998671291299,-0.5400000000000001,3.004452835726542
19,All,135,1.0174410466573056,2.582507200570754,0.3726398847095553,0.862677550275751,0.27733878608310697,1.1790306879587171,0.035191261171364556,0.3352531443215604,-0.04842326082149249,0.3690260815372499,0.517037037037037,0.8812762743614226,1.1785185185185187,2.071605664126158,0.023333333333333334,0.04766784954869493,0.017548148148148153,0.04299491787366226,1.477037037037037,2.836934985254036
20,All,350,1.2225284768423217,2.614881031657291,0.18260863849407935,0.809540495845696,0.06729031564310332,1.1305225319357861,0.016277735710391074,0.3492636293474689,-0.008257465321654884,0.4122966729417726,0.4834285714285715,0.8722790452061139,1.0774285714285714,1.959688067770881,0.020502857142857146,0.04559782761196878,0.016339999999999997,0.04878954688646759,1.4642857142857142,2.7856897781177907
21,All,599,0.8861303611380587,2.508403469765513,0.2380317781404928,0.8802185042916779,0.03467064597441264,1.203368970257371,0.023145004483632037,0.3740296061693465,-0.04301074865674448,0.39176464076975276,0.3754325259515571,0.9684549164771282,0.8619377162629759,2.0884192647973614,0.014750421585160203,0.04946277371695474,0.013569282136894827,0.04871349717833182,1.0354131534569984,2.876470341929909
22,All,1299,0.5740567909078401,2.5636371086998073,0.15708253346835685,0.8369989432854886,-0.0795839241987389,1.1317972820465583,0.01669465659827235,0.3767512040373015,-0.00530318971199684,0.4039734264795364,0.35187214611872153,0.9065744342551385,0.706027397260274,2.0276561831471627,0.013179968701095463,0.048937421942769496,0.010852963818321784,0.04645604410587607,0.8232394366197182,2.783695085859
23,All,1718,0.25482852668945044,2.4604905424342958,0.11144948081221971,0.8883776229400299,-0.057553462489567754,1.102973629171945,-0.00473771514028467,0.3721773655225004,-0.018007300335959868,0.3922304751962641,0.18005445881552076,0.8845886048084797,0.3243022464261402,1.964602006030701,0.005775307197191341,0.04614055325356973,0.0045925494761350424,0.04722019192785777,0.34499707431246346,2.6172135240659093
24,All,1740,0.10566164486604433,2.4232429076422184,0.05969216803696537,0.847044023528855,-0.06044492188315298,1.1087858664321366,0.004753470522473403,0.3619337729129176,-0.03224471162349028,0.3656270058332466,0.0952901023890785,0.9153433698739446,0.16163822525597268,1.8845402224160546,0.002789289871944121,0.04312057104912444,0.002548275862068966,0.042890454796018516,0.15314318975552974,2.5857431379182643
25,All,1666,0.035525917864715796,2.465949210470581,0.022661514202985126,0.8206937960505719,-0.05824369725357171,1.0674748112943033,-0.032343532580111606,0.34063588424472174,-0.032664138823464695,0.3344106488836695,-0.02071428571428571,0.9711563175291027,-0.06135714285714286,1.837524716745955,-0.0008971393791844186,0.043070386946986484,0.0015474189675870333,0.04307344627627387,-0.07054169202678029,2.5759373514642694
26,All,1543,-0.25795188638311445,2.430339707551724,0.03770962231285385,0.8374309041237642,-0.1314277349990676,1.0194430154979481,-0.02117591456848846,0.34307648454613027,-0.03242151010402295,0.34552904502078,-0.04400921658986175,0.9698246122607999,-0.11958525345622119,1.8890986622198889,-0.0031114754098360655,0.043785754412690024,-0.0014484769928710295,0.04279103187011311,-0.36898360655737705,2.573446442212938
27,All,1397,-0.33024506392325753,2.431839399420153,-4.756890207472145e-05,0.8525463484123251,-0.08018867455327285,1.0108986935330457,-0.018896866085070175,0.3250454318737741,-0.0328449491187769,0.3180913557197649,-0.08116063919259882,0.9769041659374034,-0.17157275021026072,1.8458615005619528,-0.004636231884057971,0.04229712392231799,-0.0018031496062992126,0.04263778328124923,-0.4204347826086956,2.5489584301067385
28,All,1235,-0.32831358224443696,2.3672499894792662,-0.01909996591443649,0.8463535284408681,-0.06131894023694603,1.0143832848678156,-0.01276632802342023,0.32314212262056435,-0.024411750567061973,0.29644572076977616,-0.1355851569933397,0.9426250656586885,-0.2658420551855376,1.7722742262767675,-0.0037247329498767464,0.03997874420372756,-0.0009473684210526319,0.041950572704081895,-0.40509449465899755,2.4749582024203742
29,All,1093,-0.5241915582393337,2.4193081656546576,-0.048177177989327837,0.8459272949109509,-0.06618769262436945,0.9888441271960416,-0.0189734579366541,0.33566102435141754,-0.014816762227738034,0.3268597815899236,-0.18319148936170213,0.9402118501966329,-0.3396808510638297,1.8948475353918404,-0.005441666666666668,0.042572865356815336,-0.005367795059469351,0.0462365330001077,-0.5786111111111112,2.5302682799925553
